Cancelation/Return Type	(blank)
Order Amount	(Multiple Items)
	
Sum of Rev	
Product Name	Total
"?VAHDAM?Turmeric Curcumin 1800mg High Strength | Lakadong Turmeric | 95% Curcuminoids with Black Pepper, Ginger & Boswellia Extract | Joint & Mobility Support | 90 Veg Capsules | Food Supplement UK Healthcare"	24.99
"VAHDAM Green Burner 500 mg Green Tea Extract with Apple Cider Vinegar, Garcinia Cambogia, L-Carnitine & Bacillus Coagulans Healthcare Supplement Vitamin Natural Dietary Fitness"	112.97
"VAHDAM KSM-66 Ashwagandha Coffee | Instant Coffee Beverage, 95% Curcuminoids Turmeric, Lion’s Mane & Chaga | 40 Servings"	1120.75
"VAHDAM KSM-66 Ashwagandha Coffee | Instant Coffee with KSM-66, 95% Curcuminoids Turmeric, Lion’s Mane & Chaga | 40 Servings"	2791.22
VAHDAM Premium Electric Coffee Frother Handheld Battery-Operated Whisk for Ashwagandha Coffee Lattes & Cappuccinos Portable Mini Foam Maker in Durable Stainless Steel	0
"VAHDAM Turmeric Ginger Herbal Tea Bags (100 Pyramid Tea Bags) - Caffeine Free, Blend of Real Spices - Turmeric Tea, Ginger Tea | Herbal Tea"	26.99
Grand Total	4076.92
